date,amount,category,description
2025-02-01 09:15:00,2500,Продукты,Магнит супермаркет
2025-02-01 20:30:00,1800,Еда,Ресторан быстрого питания
2025-02-02 22:10:00,5500,Электроника,Смартфон онлайн
2025-02-03 19:45:00,1200,Транспорт,Такси Uber
2025-02-04 23:20:00,3200,Одежда,Интернет-магазин
2025-02-05 18:00:00,800,Продукты,Магазин у метро
2025-02-06 21:15:00,4500,Развлечения,Боулинг с друзьями
2025-02-07 02:30:00,2800,Красота,Салон красоты
2025-02-08 17:30:00,1500,Еда,Доставка суши
2025-02-09 22:45:00,3800,Электроника,Ноутбук в рассрочку
2025-02-10 20:00:00,950,Продукты,Супермаркет
2025-02-11 23:10:00,2200,Одежда,Онлайн покупка
2025-02-12 19:30:00,1600,Развлечения,Караоке
2025-02-13 01:15:00,4900,Электроника,Игровая консоль
2025-02-14 18:45:00,1100,Продукты,Магазин

